"","ebird_spp_code","ebird_com_name","ebird_sci_name","total_counted","historic_cbc_com_name","lon_filter","lat_filter","prov_state_filter","bcr_filter","add_nocturnal","add_feeder","nb","ni","na","nt","min_detect_per_circ","min_non_zero_count","min_detect_ratio","min_individuals"
"56","bkhgro","Black-headed Grosbeak","Pheucticus melanocephalus",453,"Black-headed Grosbeak","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,5000,1,3,3,3,9
"57","bkhgul","Black-headed Gull","Chroicocephalus ridibundus",10833,"Black-headed Gull","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"58","bkhpar","Nanday Parakeet","Aratinga nenday",28588,"Nanday Parakeet","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,20,3,3,3,27
"59","bklkit","Black-legged Kittiwake","Rissa tridactyla",701400,"Black-legged Kittiwake,Black-legged Kittiwake (pollicaris),Black-legged Kittiwake (tridactyla)","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,5000,1,3,3,3,27
"60","bknsti","Black-necked Stilt","Himantopus mexicanus",618942,"Black-necked Stilt","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,5000,1,3,3,3,27
"61","bkrfin","Black Rosy-Finch","Leucosticte atrata",25366,"Black Rosy-Finch","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"62","bktgna","Black-tailed Gnatcatcher","Polioptila melanura",51931,"Black-tailed Gnatcatcher,California Gnatcatcher","-50,-116.49999","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"63","bktspa","Black-throated Sparrow","Amphispiza bilineata",242321,"Black-throated Sparrow","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"64","bkvshe","Black-vented Shearwater","Puffinus opisthomelas",396362,"Black-vented Shearwater","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,20,3,3,3,27
"65","blctit4","Black-crested Titmouse","Baeolophus atricristatus",82790,"Black-crested Titmouse,Tufted Titmouse,Tufted/Black-crested Titmouse","-97,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"66","blkgui","Black Guillemot","Cepphus grylle",65562,"Black Guillemot,Black Guillemot (grylle Group)","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"67","blkoys","Black Oystercatcher","Haematopus bachmani",76526,"Black Oystercatcher","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"68","blkpho","Black Phoebe","Sayornis nigricans",541041,"Black Phoebe,Black Phoebe (Northern)","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"69","blkrai","Black Rail","Laterallus jamaicensis",1422,"Black Rail","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"70","blksco2","Black Scoter","Melanitta americana",1601243,"Black Scoter","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"71","blkski","Black Skimmer","Rynchops niger",853562,"Black Skimmer","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,5000,1,3,3,3,27
"72","blktur","Black Turnstone","Arenaria melanocephala",275740,"Black Turnstone","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,5000,1,3,3,3,27
"73","blkvul","Black Vulture","Coragyps atratus",2011014,"Black Vulture","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
