ebird_com_me,dir_exists,got_data,got_coverage,mapped_neighbors,got_draws,got_par_sums,made_trend_maps,got_indices,got_trends,prop_bad_rh,prop_bad_ess,trend_median,trend_q0.025,trend_q0.975,trend_median_10yr,trend_q0.025_10yr,trend_q0.975_10yr,ebird_sci_me,sum_success
Black Rail,1,1,1,1,1,1,1,1,1,0,0,1.10194337,-0.39640898,2.584341071,1.185706182,-4.401982885,7.128550424,Laterallus_jamaicensis,6
Black Scoter,1,1,1,1,1,1,1,1,1,0,0,0.574466173,-3.787449,3.333408307,0.562964992,-4.442629683,6.643498947,Melanitta_america,6
Black Skimmer,1,1,1,1,1,1,1,1,1,0,0,-1.012816475,-2.319109692,0.324977954,-1.825490961,-6.200788283,3.154495966,Rynchops_niger,6
Black Turnstone,1,1,1,1,1,1,1,1,1,0,0,0.011218959,-0.878044722,0.869701542,1.723288677,-0.691533798,4.127179119,Areria_melanocephala,6
Black Vulture,1,1,1,1,1,1,1,1,1,0,0,5.034301804,4.528774565,5.584534886,5.109291691,3.603421105,6.961469737,Coragyps_atratus,6
Blue Grosbeak,1,1,1,0,0,0,0,0,0,,,,,,,,,Passeri_caerulea,2
Blue Jay,1,1,1,1,1,1,1,1,1,0,0,0.536816458,0.429805975,0.648160591,0.657122192,0.392788259,0.901735472,Cyanocitta_cristata,6
Brown-crested Flycatcher,1,1,1,0,0,0,0,0,0,,,,,,,,,Myiarchus_tyrannulus,2
Brown-headed Cowbird,1,1,1,1,1,1,1,1,1,0,0,-3.19464315,-5.132481133,-1.802475817,-9.242342723,-14.51983105,-2.641393401,Molothrus_ater,6
Brown-headed Nuthatch,1,1,1,1,1,1,1,1,1,0,0,0.807454363,0.441380051,1.191705788,2.097134318,0.978578121,3.281702857,Sitta_pusilla,6
Bohemian Waxwing,1,1,1,1,1,1,1,1,1,0,0,-2.714926808,-8.493105902,0.257131451,-2.140029534,-10.04450365,1.719079945,Bombycilla_garrulus,6
