ebird_spp_code,ebird_com_name,ebird_sci_name,total_counted,historic_cbc_com_name,lon_filter,lat_filter,prov_state_filter,bcr_filter,add_nocturnal,add_feeder,survey_suitability
bkbplo,Black-bellied Plover,Pluvialis squatarola,1645870,Black-bellied Plover,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
bkbwoo,Black-backed Woodpecker,Picoides arcticus,4364,Black-backed Woodpecker,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
bkcchi,Black-capped Chickadee,Poecile atricapillus,15328459,Black-capped Chickadee,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
bkcgna,Black-capped Gnatcatcher,Polioptila nigriceps,274,Black-capped Gnatcatcher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
bkchum,Black-chinned Hummingbird,Archilochus alexandri,1747,Black-chinned Hummingbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,
bkcspa,Black-chinned Sparrow,Spizella atrogularis,8595,Black-chinned Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,
bkfalb,Black-footed Albatross,Phoebastria nigripes,209,Black-footed Albatross,"-50,-180","90,20",!ZZ,!ZZ,0,0,
bkhgro,Black-headed Grosbeak,Pheucticus melanocephalus,453,Black-headed Grosbeak,"-50,-180","90,20",!ZZ,!ZZ,0,0,
bkhgul,Black-headed Gull,Chroicocephalus ridibundus,10833,Black-headed Gull,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
bkhpar,Nanday Parakeet,Aratinga nenday,28588,Nanday Parakeet,"-50,-180","90,20",!ZZ,!ZZ,0,0,
bklkit,Black-legged Kittiwake,Rissa tridactyla,701400,"Black-legged Kittiwake,Black-legged Kittiwake (pollicaris),Black-legged Kittiwake (tridactyla)","-50,-180","90,20",!ZZ,!ZZ,0,0,low
bknsti,Black-necked Stilt,Himantopus mexicanus,618942,Black-necked Stilt,"-50,-180","90,20",!ZZ,!ZZ,0,0,
bkrfin,Black Rosy-Finch,Leucosticte atrata,25366,Black Rosy-Finch,"-50,-180","90,20",!ZZ,!ZZ,0,0,
bktgna,Black-tailed Gnatcatcher,Polioptila melanura,51931,"Black-tailed Gnatcatcher,California Gnatcatcher","-50,-116.49999","90,20",!ZZ,!ZZ,0,0,
bktspa,Black-throated Sparrow,Amphispiza bilineata,242321,Black-throated Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,
bkvshe,Black-vented Shearwater,Puffinus opisthomelas,396362,Black-vented Shearwater,"-50,-180","90,20",!ZZ,!ZZ,0,0,
blctit4,Black-crested Titmouse,Baeolophus atricristatus,82790,"Black-crested Titmouse,Tufted Titmouse,Tufted/Black-crested Titmouse","-97,-180","90,20",!ZZ,!ZZ,0,0,
blkgui,Black Guillemot,Cepphus grylle,65562,"Black Guillemot,Black Guillemot (grylle Group)","-50,-180","90,20",!ZZ,!ZZ,0,0,low
blkoys,Black Oystercatcher,Haematopus bachmani,76526,Black Oystercatcher,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
blkpho,Black Phoebe,Sayornis nigricans,541041,"Black Phoebe,Black Phoebe (Northern)","-50,-180","90,20",!ZZ,!ZZ,0,0,
blkrai,Black Rail,Laterallus jamaicensis,1422,Black Rail,"-50,-180","90,20",!ZZ,!ZZ,0,0,
blksco2,Black Scoter,Melanitta americana,1601243,Black Scoter,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
blkski,Black Skimmer,Rynchops niger,853562,Black Skimmer,"-50,-180","90,20",!ZZ,!ZZ,0,0,
blktur,Black Turnstone,Arenaria melanocephala,275740,Black Turnstone,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
blkvul,Black Vulture,Coragyps atratus,2011014,Black Vulture,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
blugrb1,Blue Grosbeak,Passerina caerulea,337,Blue Grosbeak,"-50,-180","90,20",!ZZ,!ZZ,0,0,
blujay,Blue Jay,Cyanocitta cristata,10607935,Blue Jay,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
bncfly,Brown-crested Flycatcher,Myiarchus tyrannulus,226,Brown-crested Flycatcher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
bnhcow,Brown-headed Cowbird,Molothrus ater,311756392,Brown-headed Cowbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,
bnhnut,Brown-headed Nuthatch,Sitta pusilla,236207,Brown-headed Nuthatch,"-50,-180","90,20",!ZZ,!ZZ,0,0,
bohwax,Bohemian Waxwing,Bombycilla garrulus,4580310,Bohemian Waxwing,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
bongul,Bonaparte's Gull,Chroicocephalus philadelphia,5467865,Bonaparte's Gull,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
borchi2,Boreal Chickadee,Poecile hudsonicus,125358,Boreal Chickadee,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
borowl,Boreal Owl,Aegolius funereus,355,Boreal Owl,"-50,-180","90,20",!ZZ,!ZZ,1,0,low
botgra,Boat-tailed Grackle,Quiscalus major,4112642,"Boat-tailed Grackle,Boat-tailed Grackle (torreyi/alabamensis),Boat-tailed Grackle (westoni)","-50,-180","90,20",!ZZ,!ZZ,0,0,
botspa,Botteri's Sparrow,Peucaea botterii,103,Botteri's Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,
bracor,Brandt's Cormorant,Urile penicillatus,780206,Brandt's Cormorant,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
brant,Brant,Branta bernicla,4758457,"Brant,Brant (Atlantic),Brant (Black)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
brbhum,Broad-billed Hummingbird,Cynanthus latirostris,2078,"Broad-billed Hummingbird,Broad-billed Hummingbird (Northern)","-50,-180","90,20",!ZZ,!ZZ,0,0,
brdowl,Barred Owl,Strix varia,120690,"Barred Owl,Barred Owl (Northern)","-50,-180","90,20",!ZZ,!ZZ,1,0,medium
brebla,Brewer's Blackbird,Euphagus cyanocephalus,26451216,Brewer's Blackbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
brespa,Brewer's Sparrow,Spizella breweri,360571,"Brewer's Sparrow,Brewer's Sparrow (breweri)","-50,-180","90,20",!ZZ,!ZZ,0,0,
britit,Bridled Titmouse,Baeolophus wollweberi,52833,Bridled Titmouse,"-50,-180","90,20",!ZZ,!ZZ,0,0,
brnboo,Brown Booby,Sula leucogaster,2239,Brown Booby,"-50,-180","90,20",!ZZ,!ZZ,0,0,
brncre,Brown Creeper,Certhia americana,540495,"Brown Creeper,Brown Creeper (albescens/alticola),Brown Creeper (occidentalis Group)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
brnjay,Brown Jay,Cyanocorax morio,530,Brown Jay,"-50,-180","90,20",!ZZ,!ZZ,0,0,
brnow,American Barn Owl,Tyto furcata,30176,"Barn Owl,Barn Owl (American)","-50,-180","90,20",!ZZ,!ZZ,1,0,
brnpel,Brown Pelican,Pelecanus occidentalis,2145102,"Brown Pelican,Brown Pelican (Atlantic),Brown Pelican (California)","-50,-180","90,20",!ZZ,!ZZ,0,0,
brnthr,Brown Thrasher,Toxostoma rufum,240781,Brown Thrasher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
brocow,Bronzed Cowbird,Molothrus aeneus,230771,Bronzed Cowbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,
brthum,Broad-tailed Hummingbird,Selasphorus platycercus,394,Broad-tailed Hummingbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,
brwhaw,Broad-winged Hawk,Buteo platypterus,2739,"Broad-winged Hawk,Broad-winged Hawk (Northern)","-50,-180","90,20",!ZZ,!ZZ,0,0,
btbwar,Black-throated Blue Warbler,Setophaga caerulescens,1205,Black-throated Blue Warbler,"-50,-180","90,20",!ZZ,!ZZ,0,0,
btnwar,Black-throated Green Warbler,Setophaga virens,2252,Black-throated Green Warbler,"-50,-180","90,20",!ZZ,!ZZ,0,0,
btywar,Black-throated Gray Warbler,Setophaga nigrescens,5019,Black-throated Gray Warbler,"-50,-180","90,20",!ZZ,!ZZ,0,0,
bubhum,Buff-bellied Hummingbird,Amazilia yucatanensis,2752,Buff-bellied Hummingbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,
budger,Budgerigar,Melopsittacus undulatus,41680,"Budgerigar,Budgerigar (Domestic type)","-50,-180","90,20",!ZZ,!ZZ,0,0,
buffle,Bufflehead,Bucephala albeola,7449457,Bufflehead,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
buggna,Blue-gray Gnatcatcher,Polioptila caerulea,557834,"Blue-gray Gnatcatcher,Blue-gray Gnatcatcher (caerulea),Blue-gray Gnatcatcher (obscura Group)","-50,-180","90,20",!ZZ,!ZZ,0,0,
buhvir,Blue-headed Vireo,Vireo solitarius,69893,Blue-headed Vireo,"-50,-180","90,20",!ZZ,!ZZ,0,0,
bulori,Bullock's Oriole,Icterus bullockii,2604,Bullock's Oriole,"-50,-180","90,20",!ZZ,!ZZ,0,0,
burowl,Burrowing Owl,Athene cunicularia,20587,Burrowing Owl,"-50,-180","90,20",!ZZ,!ZZ,1,0,
bushti,Bushtit,Psaltriparus minimus,2622194,"Bushtit,Bushtit (Black-eared),Bushtit (Interior),Bushtit (Pacific)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
buthum,Blue-throated Mountain-gem,Lampornis clemenciae,415,Blue-throated Hummingbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,
buwtea,Blue-winged Teal,Spatula discors,961420,Blue-winged Teal,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
cacwre,Cactus Wren,Campylorhynchus brunneicapillus,116021,Cactus Wren,"-50,-180","90,20",!ZZ,!ZZ,0,0,
calcon,California Condor,Gymnogyps californianus,455,California Condor,"-50,-180","90,20",!ZZ,!ZZ,0,0,
calgna,California Gnatcatcher,Polioptila californica,9378,"California Gnatcatcher,Black-tailed Gnatcatcher","-116.5,-180","90,20",!ZZ,!ZZ,0,0,
calgul,California Gull,Larus californicus,4498965,"California Gull,California Gull (albertaensis),California Gull (californicus)","-50,-180","90,20",!ZZ,!ZZ,0,0,
calhum,Calliope Hummingbird,Selasphorus calliope,305,Calliope Hummingbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,
calqua,California Quail,Callipepla californica,2387287,California Quail,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
calthr,California Thrasher,Toxostoma redivivum,74798,California Thrasher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
caltow,California Towhee,Melozone crissalis,475670,"California Towhee,Canyon Towhee","-114.6,-180","90,20",!ZZ,!ZZ,0,0,
camwar,Cape May Warbler,Setophaga tigrina,714,Cape May Warbler,"-50,-180","90,20",!ZZ,!ZZ,0,0,
cantow,Canyon Towhee,Melozone fusca,82514,"Canyon Towhee,California Towhee","-50,-114.5999","90,20",!ZZ,!ZZ,0,0,
canvas,Canvasback,Aythya valisineria,7198203,Canvasback,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
canwre,Canyon Wren,Catherpes mexicanus,41638,Canyon Wren,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
carchi,Carolina Chickadee,Poecile carolinensis,3666129,Carolina Chickadee,"-50,-180","90,20",!ZZ,!ZZ,0,0,
carwre,Carolina Wren,Thryothorus ludovicianus,2235474,Carolina Wren,"-50,-180","90,20",!ZZ,!ZZ,0,0,high
casauk,Cassin's Auklet,Ptychoramphus aleuticus,693150,Cassin's Auklet,"-50,-180","90,20",!ZZ,!ZZ,0,0,
casfin,Cassin's Finch,Haemorhous cassinii,103310,Cassin's Finch,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
caskin,Cassin's Kingbird,Tyrannus vociferans,46582,Cassin's Kingbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,
casspa,Cassin's Sparrow,Peucaea cassinii,5126,Cassin's Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,
caster1,Caspian Tern,Hydroprogne caspia,117383,Caspian Tern,"-50,-180","90,20",!ZZ,!ZZ,0,0,
casvir,Cassin's Vireo,Vireo cassinii,812,Cassin's Vireo,"-50,-180","90,20",!ZZ,!ZZ,0,0,
categr1,Western Cattle-Egret,Ardea ibis,1572365,"Western Cattle-Egret,Cattle Egret,Cattle Egret (Western)","-50,-180","90,20",!ZZ,!ZZ,0,0,
cavswa,Cave Swallow,Petrochelidon fulva,18906,"Cave Swallow,Cave Swallow (Texas)","-50,-180","90,20",!ZZ,!ZZ,0,0,
cedwax,Cedar Waxwing,Bombycilla cedrorum,8023553,Cedar Waxwing,"-50,-180","90,20",!ZZ,!ZZ,0,0,
chbchi,Chestnut-backed Chickadee,Poecile rufescens,1078936,Chestnut-backed Chickadee,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
chclon,Chestnut-collared Longspur,Calcarius ornatus,98302,Chestnut-collared Longspur,"-50,-180","90,20",!ZZ,!ZZ,0,0,
chirav,Chihuahuan Raven,Corvus cryptoleucus,89734,Chihuahuan Raven,"-50,-180","90,20",!ZZ,!ZZ,0,0,
chispa,Chipping Sparrow,Spizella passerina,2257886,Chipping Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
chswar,Chestnut-sided Warbler,Setophaga pensylvanica,140,Chestnut-sided Warbler,"-50,-180","90,20",!ZZ,!ZZ,0,0,
chukar,Chukar,Alectoris chukar,31846,Chukar,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
chwwid,Chuck-will's-widow,Antrostomus carolinensis,711,Chuck-will's-widow,"-50,-180","90,20",!ZZ,!ZZ,0,0,
cintea,Cinnamon Teal,Spatula cyanoptera,149412,Cinnamon Teal,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
clanut,Clark's Nutcracker,Nucifraga columbiana,70963,Clark's Nutcracker,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
clarai11,Clapper Rail,Rallus crepitans,3793,"Clapper Rail,Clapper Rail (Atlantic Coast),Clapper Rail (Gulf Coast),Ridgway's Rail,Ridgway's Rail (Light-footed),Ridgway's Rail (San Francisco Bay),Ridgway's Rail (Yuma),Ridgway's/Mangrove/Clapper Rail","-50,-108.9999","90,20",!ZZ,!ZZ,0,0,
clcrob,Clay-colored Thrush,Turdus grayi,545,Clay-colored Thrush,"-50,-180","90,20",!ZZ,!ZZ,0,0,
clcspa,Clay-colored Sparrow,Spizella pallida,8770,Clay-colored Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,
cliswa,Cliff Swallow,Petrochelidon pyrrhonota,335,Cliff Swallow,"-50,-180","90,20",!ZZ,!ZZ,0,0,
cogdov,Common Ground Dove,Columbina passerina,145970,"Common Ground Dove,Common Ground-Dove","-50,-180","90,20",!ZZ,!ZZ,0,0,
comeid,Common Eider,Somateria mollissima,5858349,"Common Eider,Common Eider (Dressers),Common Eider (Northern)","-50,-180","90,20",!ZZ,!ZZ,0,0,low
comgal1,Common Gallinule,Gallinula galeata,693125,"Common Gallinule,Common Gallinule (American)","-50,-180","90,20",!ZZ,!ZZ,0,0,
comgol,Common Goldeneye,Bucephala clangula,7102831,Common Goldeneye,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
comgra,Common Grackle,Quiscalus quiscula,454688722,"Common Grackle,Common Grackle (Bronzed),Common Grackle (Purple)","-50,-180","90,20",!ZZ,!ZZ,0,0,
comloo,Common Loon,Gavia immer,670840,Common Loon,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
commer,Common Merganser,Mergus merganser,7795249,"Common Merganser,Common Merganser (Eurasian),Common Merganser (North American)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
commur,Common Murre,Uria aalge,2311319,Common Murre,"-50,-180","90,20",!ZZ,!ZZ,0,0,
commyn,Common Myna,Acridotheres tristis,1143,Common Myna,"-50,-180","90,20",!ZZ,!ZZ,0,0,
comnig,Common Nighthawk,Chordeiles minor,182,Common Nighthawk,"-50,-180","90,20",!ZZ,!ZZ,0,0,
compau,Common Pauraque,Nyctidromus albicollis,3616,Common Pauraque,"-50,-180","90,20",!ZZ,!ZZ,0,0,
compea,Indian Peafowl,Pavo cristatus,1704,"Indian Peafowl,Indian Peafowl (Domestic type)","-50,-180","90,20",!ZZ,!ZZ,0,0,
compoo,Common Poorwill,Phalaenoptilus nuttallii,278,Common Poorwill,"-50,-180","90,20",!ZZ,!ZZ,0,0,
comrav,Common Raven,Corvus corax,3550768,Common Raven,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
comter,Common Tern,Sterna hirundo,8834,Common Tern,"-50,-180","90,20",!ZZ,!ZZ,0,0,
comyel,Common Yellowthroat,Geothlypis trichas,467592,"Common Yellowthroat,Common Yellowthroat (arizela Group),Common Yellowthroat (occidentalis Group),Common Yellowthroat (trichas Group)","-50,-180","90,20",!ZZ,!ZZ,0,0,
coohaw,Cooper's Hawk,Astur cooperii,271710,Cooper's Hawk,"-50,-180","90,20",!ZZ,!ZZ,0,0,
coshum,Costa's Hummingbird,Calypte costae,13368,Costa's Hummingbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,
cowscj1,California Scrub-Jay,Aphelocoma californica,10000,"California Scrub-Jay,Florida Scrub-Jay,Island Scrub-Jay,Western Scrub-Jay,Western Scrub-Jay (Coastal),Western Scrub-Jay (Woodhouse's)","-50,-180","90,20","CA,OR,WA",!ZZ,0,0,
creauk,Crested Auklet,Aethia cristatella,23349,Crested Auklet,"-50,-180","90,20",!ZZ,!ZZ,0,0,
cremyn,Crested Myna,Acridotheres cristatellus,8600,Crested Myna,"-50,-180","90,20",!ZZ,!ZZ,0,0,
crithr,Crissal Thrasher,Toxostoma crissale,19775,Crissal Thrasher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
cubthr,Curve-billed Thrasher,Toxostoma curvirostre,84549,Curve-billed Thrasher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
daejun,Dark-eyed Junco,Junco hyemalis,6476746,"Dark-eyed Junco,Dark-eyed Junco (Gray-headed x Red-backed),Dark-eyed Junco (Gray-headed),Dark-eyed Junco (Oregon x Gray-headed),Dark-eyed Junco (Oregon x Pink-sided),Dark-eyed Junco (Oregon),Dark-eyed Junco (Pink-sided x Gray-headed),Dark-eyed Junco (Pink-sided),Dark-eyed Junco (Red-backed),Dark-eyed Junco (Slate-colored),Dark-eyed Junco (Slate-colored/Cassiar),Dark-eyed Junco (White-winged),Dark-eyed Junco (cismontanus)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
dickci,Dickcissel,Spiza americana,1586,Dickcissel,"-50,-180","90,20",!ZZ,!ZZ,0,0,
doccor,Double-crested Cormorant,Nannopterum auritum,14553960,"Double-crested Cormorant,Double-crested Cormorant (Dark-crested),Double-crested Cormorant (White-crested)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
doveki,Dovekie,Alle alle,296966,Dovekie,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
dowwoo,Downy Woodpecker,Dryobates pubescens,3628831,"Downy Woodpecker,Downy Woodpecker (Eastern),Downy Woodpecker (Pacific),Downy Woodpecker (Rocky Mts.)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
dunlin,Dunlin,Calidris alpina,15800007,"Dunlin,Dunlin (alpina)","-50,-180","90,20",!ZZ,!ZZ,0,0,low
dusfly,Dusky Flycatcher,Empidonax oberholseri,1048,Dusky Flycatcher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
dusgro,Dusky Grouse,Dendragapus obscurus,209,"Dusky Grouse,Dusky/Sooty Grouse,Sooty Grouse","-50,-180","90,20",!ZZ,"04,06,09,10,11,16,17,18,34,35",0,0,medium
eargre,Eared Grebe,Podiceps nigricollis,2181095,Eared Grebe,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
easblu,Eastern Bluebird,Sialia sialis,3205727,"Eastern Bluebird,Eastern Bluebird (Eastern)","-50,-180","90,20",!ZZ,!ZZ,0,0,
easkin,Eastern Kingbird,Tyrannus tyrannus,340,Eastern Kingbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,
easmea,Eastern Meadowlark,Sturnella magna,2479690,"Eastern Meadowlark,Eastern Meadowlark (Eastern),Eastern Meadowlark (Lilians)","-50,-180","90,20",!ZZ,!ZZ,0,0,
easowl1,Eastern Screech-Owl,Megascops asio,222106,"Eastern Screech-Owl,Eastern Screech-Owl (Northern),Western Screech-Owl","-50,-101.9999","90,20",!ZZ,!ZZ,1,0,medium
easpho,Eastern Phoebe,Sayornis phoebe,675474,Eastern Phoebe,"-50,-180","90,20",!ZZ,!ZZ,0,0,
